"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"margaryna - za 400 g";"cena";"2012";3,37;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"margaryna - za 400 g";"cena";"2013";3,65;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pomarańcze - za 1kg";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pomarańcze - za 1kg";"cena";"2013";4,81;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"kawa naturalna mielona - za 250g";"cena";"2012";7,80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"kawa naturalna mielona - za 250g";"cena";"2013";6,97;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2012";186,62;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2013";179,05;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"olej napędowy - za 1l";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"olej napędowy - za 1l";"cena";"2013";5,66;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pasta do zębów - za 100 ml";"cena";"2012";8,90;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pasta do zębów - za 100 ml";"cena";"2013";8,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2012";15,31;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2013";15,22;"zł";"";
